Label,Layer #,Scaffold #,wt% PPF,Spacing (mm),Speed (mm/s),Pressure (bar),Mean fiber,Mean pore,Mean spacing,Fiber Size (x1),x2,x3,x4,x5,Pore Size (x1),x2 2,x3 2,x4 2,x5 2,Fiber spacing (x1),Spacing x2,Spacing x3,Spacing x4,Spacing x5,Std wt% PPF,Std Spacing (mm),Std Speed (mm/s),Std Pressure (bar),Std Mean fiber,Std Mean pore,Std Mean spacing,Linear pore size,Quadratic pore size,Linear fiber diameter,Quadratic fiber diameter,4th order pore,4th order fiber,"Pore (lin, step)","Fiber (lin, step)","Pore (quad, step)","Fiber (quad, step)","Sum (lin, step)","Sum (quad, step)"
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",10,1,90,0.8,5,2.5,0.423,0.486,0.909,0.549,0.171,0.495,0.387,0.513,0.675,0.342,0.54,0.441,0.432,1.224,0.513,1.035,0.828,0.945,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-0.2031918505,0.1233343354,-0.0844697019,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",10,2,90,0.8,5,2.5,,,,,,,,,,,,,,,,,,,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,,,,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",10,3,90,0.8,5,2.5,,,,,,,,,,,,,,,,,,,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,,,,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",10,4,90,0.8,5,2.5,,,,,,,,,,,,,,,,,,,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,,,,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",1,1,90,1.2,5,3,0.6984,0.4482,1.1466,0.693,0.729,0.684,0.711,0.675,0.432,0.441,0.45,0.459,0.459,1.125,1.17,1.134,1.17,1.134,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,1.5875411766,-0.0468594608,1.1064480103,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",1,2,90,1.2,5,3,0.7254,0.4284,1.1538,0.756,0.702,0.756,0.711,0.702,0.423,0.432,0.423,0.441,0.423,1.179,1.134,1.179,1.152,1.125,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,1.7631032381,-0.1360085921,1.1425364258,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",1,3,90,1.2,5,3,0.5652,0.585,1.1502,0.594,0.576,0.576,0.549,0.531,0.549,0.576,0.567,0.594,0.639,1.143,1.152,1.143,1.143,1.17,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.7214350066,0.5690799921,1.124492218,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",1,4,90,1.2,5,3,0.5796,0.585,1.1646,0.585,0.612,0.558,0.54,0.603,0.558,0.567,0.585,0.63,0.585,1.143,1.179,1.143,1.17,1.188,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.8150681061,0.5690799921,1.1966690491,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",2,1,90,1.2,5,3,0.4686,0.6696,1.1382,0.468,0.495,0.468,0.432,0.48,0.636,0.66,0.66,0.672,0.72,1.104,1.155,1.128,1.104,1.2,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.0933129644,0.9499899169,1.0643448588,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",2,2,90,1.2,5,3,0.4896,0.648,1.1376,0.42,0.528,0.456,0.54,0.504,0.66,0.624,0.648,0.648,0.66,1.08,1.152,1.104,1.188,1.164,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.2298612344,0.8527363191,1.0613374909,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",2,3,90,1.2,5,3,0.504,0.6456,1.1496,0.516,0.516,0.516,0.48,0.492,0.648,0.612,0.648,0.672,0.648,1.164,1.128,1.164,1.152,1.14,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.3234943339,0.8419303638,1.1214848501,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",2,4,90,1.2,5,3,0.492,0.6552,1.1472,0.528,0.528,0.528,0.48,0.396,0.66,0.624,0.648,0.66,0.684,1.188,1.152,1.176,1.14,1.08,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.245466751,0.885154185,1.1094553782,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",3,1,90,1.2,5,3,0.4728,0.6648,1.1376,0.504,0.48,0.468,0.468,0.444,0.684,0.66,0.636,0.672,0.672,1.188,1.14,1.104,1.14,1.116,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.1206226184,0.9283780063,1.0613374909,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",3,2,90,1.2,5,3,0.48,0.6504,1.1304,0.444,0.492,0.492,0.492,0.48,0.636,0.648,0.66,0.648,0.66,1.08,1.14,1.152,1.14,1.14,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.1674391681,0.8635422744,1.0252490753,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",3,3,90,1.2,5,3,0.444,0.6888,1.1328,0.516,0.42,0.456,0.408,0.42,0.66,0.684,0.672,0.72,0.708,1.176,1.104,1.128,1.128,1.128,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.0666435805,1.0364375594,1.0372785472,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",3,4,90,1.2,5,3,0.42,0.6888,1.1088,0.456,0.324,0.432,0.408,0.48,0.72,0.72,0.66,0.696,0.648,1.176,1.044,1.092,1.104,1.128,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.2226987463,1.0364375594,0.9169838288,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",4,1,90,1.2,5,3,0.4608,0.7224,1.1832,0.456,0.504,0.384,0.444,0.516,0.672,0.708,0.732,0.78,0.72,1.128,1.212,1.116,1.224,1.236,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.0425950355,1.1877209338,1.2898974558,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",4,2,90,1.2,5,3,0.468,0.6696,1.1376,0.516,0.48,0.468,0.42,0.456,0.684,0.672,0.672,0.636,0.684,1.2,1.152,1.14,1.056,1.14,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.0894115853,0.9499899169,1.0613374909,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",4,3,90,1.2,5,3,0.468,0.6792,1.1472,0.528,0.564,0.444,0.372,0.432,0.696,0.552,0.672,0.732,0.744,1.224,1.116,1.116,1.104,1.176,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.0894115853,0.9932137382,1.1094553782,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
